,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadar Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal
504,32.0,524.0,1.0,32.0,125.0,19.0,36.0,,1362.0,7.0,1042.0,245.0,34.0,287.0,22.0,304.0,401.0,17.0,798.0,2115.0,2.0,0.0,0.0,,60.0,5.0,117.0,1356.0,,1379.0,490.0,2.0,39.0,758.0,151.0
505,32.0,589.0,1.0,32.0,130.0,21.0,36.0,,1431.0,7.0,1195.0,254.0,38.0,303.0,27.0,324.0,462.0,17.0,1000.0,2465.0,2.0,10.0,0.0,,60.0,6.0,128.0,1394.0,,1409.0,585.0,2.0,39.0,944.0,218.0
506,32.0,589.0,1.0,32.0,142.0,21.0,36.0,0.0,1468.0,7.0,1381.0,256.0,38.0,320.0,33.0,331.0,462.0,17.0,1000.0,2819.0,2.0,10.0,0.0,,60.0,6.0,133.0,1525.0,,1485.0,585.0,2.0,39.0,987.0,364.0
507,32.0,729.0,1.0,32.0,188.0,21.0,36.0,0.0,1542.0,7.0,1500.0,260.0,38.0,322.0,37.0,354.0,469.0,17.0,1099.0,3094.0,2.0,10.0,0.0,,61.0,6.0,135.0,1596.0,,1516.0,628.0,2.0,39.0,1130.0,364.0
509,33.0,842.0,1.0,34.0,297.0,21.0,38.0,0.0,2020.0,7.0,1872.0,279.0,38.0,364.0,52.0,376.0,484.0,17.0,1349.0,3470.0,2.0,10.0,0.0,,63.0,6.0,152.0,1916.0,,1605.0,700.0,2.0,46.0,1387.0,364.0
512,33.0,925.0,1.0,34.0,365.0,24.0,49.0,0.0,2069.0,7.0,2545.0,300.0,39.0,383.0,78.0,424.0,489.0,21.0,1676.0,4199.0,2.0,10.0,1.0,,68.0,6.0,166.0,2176.0,,1959.0,750.0,2.0,46.0,1653.0,417.0
514,33.0,1142.0,1.0,39.0,388.0,28.0,55.0,0.0,2858.0,7.0,3562.0,418.0,39.0,466.0,79.0,451.0,490.0,22.0,2004.0,5547.0,2.0,10.0,1.0,,143.0,9.0,200.0,2459.0,,2176.0,940.0,16.0,46.0,1902.0,702.0
515,33.0,1192.0,1.0,39.0,411.0,37.0,56.0,0.0,3045.0,7.0,3753.0,439.0,39.0,485.0,87.0,460.0,491.0,22.0,2171.0,6059.0,2.0,11.0,1.0,,158.0,9.0,223.0,2580.0,,2240.0,950.0,29.0,50.0,2072.0,768.0
516,33.0,1252.0,1.0,41.0,438.0,37.0,56.0,0.0,3518.0,7.0,4035.0,439.0,39.0,513.0,87.0,480.0,492.0,22.0,2283.0,6564.0,2.0,11.0,1.0,,166.0,9.0,305.0,2677.0,,2599.0,959.0,42.0,51.0,2165.0,829.0
517,33.0,1353.0,1.0,41.0,453.0,51.0,56.0,0.0,3926.0,7.0,4308.0,514.0,43.0,542.0,113.0,496.0,495.0,22.0,2315.0,7088.0,2.0,11.0,1.0,,196.0,9.0,1257.0,2839.0,,3538.0,971.0,64.0,51.0,2441.0,872.0
518,33.0,1456.0,1.0,41.0,475.0,51.0,59.0,0.0,4485.0,7.0,4499.0,562.0,44.0,575.0,113.0,509.0,497.0,24.0,2403.0,7688.0,2.0,11.0,1.0,,220.0,9.0,1366.0,2992.0,,4172.0,992.0,85.0,52.0,2441.0,959.0
519,33.0,1552.0,1.0,41.0,494.0,54.0,59.0,0.0,4485.0,7.0,4804.0,598.0,44.0,609.0,113.0,530.0,497.0,41.0,2435.0,8437.0,2.0,11.0,1.0,,220.0,9.0,1547.0,3218.0,,4406.0,1000.0,85.0,52.0,2783.0,1006.0
520,33.0,1621.0,1.0,41.0,534.0,57.0,59.0,0.0,4750.0,7.0,5043.0,627.0,47.0,653.0,127.0,544.0,497.0,43.0,2630.0,9639.0,2.0,12.0,1.0,,277.0,9.0,1642.0,3337.0,,4895.0,1010.0,116.0,52.0,2918.0,1074.0
