,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadar Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal
509,33.0,1887.0,1.0,59.0,571.0,150.0,59.0,1.0,6318.0,7.0,7402.0,647.0,50.0,823.0,132.0,753.0,503.0,42.0,3341.0,19063.0,2.0,12.0,1.0,,271.0,9.0,1731.0,3579.0,,6009.0,1133.0,118.0,63.0,3214.0,1678.0
512,33.0,1980.0,1.0,63.0,696.0,169.0,59.0,1.0,6923.0,7.0,8194.0,703.0,55.0,861.0,157.0,848.0,512.0,42.0,3614.0,22171.0,2.0,13.0,1.0,,377.0,9.0,1823.0,3814.0,,7204.0,1196.0,150.0,68.0,3467.0,1939.0
514,33.0,2137.0,1.0,80.0,940.0,187.0,59.0,1.0,7998.0,7.0,9267.0,793.0,66.0,971.0,173.0,959.0,534.0,43.0,4173.0,25922.0,2.0,13.0,1.0,,538.0,13.0,1924.0,4328.0,,9227.0,1367.0,155.0,72.0,3729.0,2290.0
515,33.0,2205.0,1.0,87.0,994.0,191.0,60.0,1.0,8470.0,14.0,9591.0,818.0,74.0,983.0,197.0,987.0,560.0,43.0,4426.0,27524.0,3.0,13.0,1.0,,611.0,13.0,1935.0,4534.0,,9674.0,1414.0,156.0,78.0,3902.0,2377.0
516,33.0,2307.0,1.0,90.0,1018.0,191.0,66.0,1.0,8895.0,15.0,9931.0,818.0,76.0,1013.0,203.0,1056.0,576.0,43.0,4595.0,29100.0,3.0,13.0,1.0,,672.0,13.0,1935.0,4727.0,,10108.0,1454.0,156.0,82.0,4057.0,2461.0
517,33.0,2355.0,1.0,92.0,1179.0,191.0,67.0,1.0,9333.0,17.0,10988.0,887.0,78.0,1121.0,217.0,1092.0,587.0,43.0,4789.0,30706.0,7.0,13.0,1.0,,737.0,13.0,1946.0,4960.0,,10585.0,1509.0,167.0,88.0,4258.0,2576.0
518,33.0,2407.0,1.0,101.0,1262.0,191.0,86.0,1.0,10054.0,29.0,11379.0,910.0,80.0,1183.0,223.0,1147.0,601.0,43.0,4977.0,33053.0,7.0,13.0,1.0,,828.0,13.0,1964.0,5202.0,,11224.0,1551.0,167.0,92.0,4259.0,2677.0
519,33.0,2474.0,1.0,107.0,1391.0,196.0,93.0,1.0,10054.0,38.0,11745.0,928.0,90.0,1289.0,223.0,1246.0,630.0,43.0,5236.0,35058.0,7.0,13.0,1.0,,876.0,18.0,1980.0,5507.0,,11760.0,1597.0,167.0,93.0,4605.0,2825.0
520,33.0,2532.0,1.0,142.0,1498.0,200.0,101.0,1.0,10554.0,46.0,12140.0,964.0,92.0,1317.0,231.0,1397.0,642.0,43.0,5465.0,37136.0,9.0,13.0,1.0,,978.0,18.0,2002.0,5845.0,,12448.0,1634.0,173.0,111.0,4926.0,2961.0
521,33.0,2602.0,1.0,170.0,1674.0,202.0,115.0,1.0,11088.0,50.0,12537.0,993.0,110.0,1390.0,231.0,1462.0,666.0,44.0,5735.0,39297.0,25.0,14.0,1.0,,1052.0,18.0,2005.0,6015.0,,13191.0,1661.0,173.0,122.0,5175.0,3103.0
